endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Bartira, 62 - Perdizes, São Paulo - SP;1298000.0;114;3;3;5;3
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;1448000.0;100;3;2;2;3
Rua Cotoxó, 161 - Perdizes, São Paulo - SP;890000.0;76;2;1;3;3
Rua Cardoso de Almeida, 1116 - Perdizes, São Paulo - SP;1300000.0;135;4;1;3;3
Perdizes, São Paulo - SP;1150000.0;118;2;2;2;3
Rua Apinajés - Perdizes, São Paulo - SP;1920.0;42;1;1;1;3
Rua Campevas, 238 - Perdizes, São Paulo - SP;1194803.0;73;2;1;2;3
Rua Doutor Costa Júnior - Perdizes, São Paulo - SP;3800000.0;244;4;4;6;3
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;1497000.0;100;3;2;3;3
Perdizes, São Paulo - SP;500000.0;72;2;2;1;3
Rua Cotoxó - Perdizes, São Paulo - SP;2214000.0;140;3;2;4;3
Rua Aimberê, 2050 - Perdizes, São Paulo - SP;1900000.0;157;4;2;4;3
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;2429555.0;173;3;2;5;3
Rua Caraíbas - Perdizes, São Paulo - SP;3180000.0;240;4;5;5;3
Perdizes, São Paulo - SP;1340000.0;100;3;2;4;3
Rua Doutor Costa Júnior, 465 - Água Branca, São Paulo - SP;1820341.0;135;3;2;2;3
Rua João Ramalho - Perdizes, São Paulo - SP;1386200.0;100;3;2;1;3
Rua Aimberê, 1405 - Perdizes, São Paulo - SP;1615000.0;163;3;3;2;3
Rua Doutor Cândido Espinheira - Perdizes, São Paulo - SP;2650000.0;222;4;4;5;3
Rua Melo Palheta - Perdizes, São Paulo - SP;1336900.0;110;3;2;5;3
Rua Aimberê - Perdizes, São Paulo - SP;955000.0;105;3;1;3;3
Rua Iperoig, 554 - Perdizes, São Paulo - SP;690000.0;78;3;2;2;3
Rua Doutor Costa Júnior, 465 - Água Branca, São Paulo - SP;1800000.0;135;3;2;2;3
Rua Cotoxó - Perdizes, São Paulo - SP;1500000.0;142;4;2;3;3
Rua Cotoxó, 300 - Perdizes, São Paulo - SP;3592000.0;190;4;3;6;3
Rua Bartira, 856 - Perdizes, São Paulo - SP;2300000.0;156;4;2;5;3
Rua Campevas, 238 - Perdizes, São Paulo - SP;3560000.0;222;4;3;5;3
Rua Tucuna - Perdizes, São Paulo - SP;2500000.0;192;4;4;5;3
Perdizes, São Paulo - SP;2000000.0;171;3;3;4;3
Rua Desembargador Guimarães, 75 - Perdizes, São Paulo - SP;0.0;176;3;4;5;3
Rua Ministro Godói - Perdizes, São Paulo - SP;1621396.0;105;3;2;4;3
Rua Melo Palheta, 301 - Perdizes, São Paulo - SP;288000.0;22;1;0;1;3
Rua Aimberê, 258 - Perdizes, São Paulo - SP;2700000.0;190;3;4;5;3
Rua Diana, 700 - Perdizes, São Paulo - SP;1060000.0;123;3;2;4;3
Perdizes, São Paulo - SP;1650000.0;136;3;3;5;3
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;1500000.0;100;3;2;4;3
Rua Cayowaá - Perdizes, São Paulo - SP;630000.0;51;1;1;2;4
Rua Cayowaá, 186 - Perdizes, São Paulo - SP;0.0;50;1;1;1;4
Rua Piracuama, 262 - Perdizes, São Paulo - SP;970000.0;98;3;2;3;4
Avenida Pompéia, 713 - Perdizes, São Paulo - SP;220100.0;24;1;0;1;4
Rua Ministro Godói - Perdizes, São Paulo - SP;1600000.0;136;3;4;4;4
