endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Monte Alegre, 599 - Perdizes, São Paulo - SP;1224000.0;95;3;1;3;26
Rua Catão, 876 - Vila Romana, São Paulo - SP;1864248.0;167;4;3;3;26
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;2583426.0;204;3;2;5;26
Rua Vargem do Cedro - Perdizes, São Paulo - SP;883000.0;105;3;2;2;26
Rua Caraíbas, 544 - Perdizes, São Paulo - SP;920000.0;113;3;1;2;26
Rua dos Caetés, 18 - Perdizes, São Paulo - SP;950000.0;75;3;2;3;26
Rua Venâncio Aires, 433 - Perdizes, São Paulo - SP;464000.0;38;2;1;2;26
Perdizes, São Paulo - SP;7500.0;123;2;3;3;26
Rua Cayowaá, 1258 - Perdizes, São Paulo - SP;1010000.0;110;3;1;3;27
Rua Campevas, 238 - Perdizes, São Paulo - SP;0.0;106;2;1;4;27
Rua Apinajés, 931 - Perdizes, São Paulo - SP;760000.0;67;2;2;2;27
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;980000.0;117;3;1;4;27
Rua dos Caetés, 878 - Perdizes, São Paulo - SP;600000.0;70;2;1;2;27
Rua Diana, 649 - Perdizes, São Paulo - SP;950000.0;105;3;1;3;27
Rua Cayowaá, 524 - Perdizes, São Paulo - SP;690000.0;69;3;1;2;27
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;950000.0;96;2;1;2;27
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;3;3;3;27
Rua Aimberê, 406 - Perdizes, São Paulo - SP;1500000.0;131;3;2;3;27
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;400000.0;37;1;0;1;27
Rua Apiacás, 961 - Perdizes, São Paulo - SP;2800000.0;196;4;4;5;27
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2500000.0;150;3;3;4;27
Rua Caiubi, 1329 - Perdizes, São Paulo - SP;630000.0;70;2;1;2;27
Rua Cardoso de Almeida, 1116 - Perdizes, São Paulo - SP;1250000.0;137;3;1;3;27
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;0;3;5;27
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;3000000.0;174;3;2;5;27
Rua Paraguaçu - Perdizes, São Paulo - SP;6000000.0;267;3;5;4;27
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2385000.0;153;3;3;5;27
Rua Apinajés, 271 - Perdizes, São Paulo - SP;1950000.0;173;3;4;5;27
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;5500000.0;266;4;5;6;27
Rua Ministro Godói, 539 - Perdizes, São Paulo - SP;895000.0;106;3;1;3;27
Rua Cayowaá - Perdizes, São Paulo - SP;875000.0;110;3;1;3;27
Rua Cayowaá, 425 - Perdizes, São Paulo - SP;2300000.0;155;4;2;3;27
Rua Desembargador do Vale, 333 - Perdizes, São Paulo - SP;1500000.0;121;3;3;3;27
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;550000.0;56;2;1;1;27
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;2000000.0;100;3;2;3;27
Rua Cardoso de Almeida, 612 - Perdizes, São Paulo - SP;739900.0;101;2;1;2;27
Rua Apiacás - Perdizes, São Paulo - SP;1450000.0;127;3;2;3;27
Rua Apinajés, 969 - Perdizes, São Paulo - SP;1800000.0;226;4;3;4;27
Rua Monte Alegre, 1457 - Perdizes, São Paulo - SP;855000.0;93;3;3;3;27
Perdizes, São Paulo - SP;2190000.0;190;3;3;5;27
Rua Apinajés - Perdizes, São Paulo - SP;2100000.0;157;3;4;5;27
Rua Bartira, 901 - Perdizes, São Paulo - SP;1810000.0;186;4;2;5;27
Rua Tavares Bastos - Perdizes, São Paulo - SP;2950000.0;240;4;5;6;27
Rua Doutor Cândido Espinheira, 758 - Perdizes, São Paulo - SP;3500000.0;221;4;4;6;27
Rua Cayowaá, 1258 - Perdizes, São Paulo - SP;1010000.0;110;3;1;3;28
Rua Campevas, 238 - Perdizes, São Paulo - SP;0.0;106;2;1;4;28
Rua Apinajés, 931 - Perdizes, São Paulo - SP;760000.0;67;2;2;2;28
Rua dos Caetés, 878 - Perdizes, São Paulo - SP;600000.0;70;2;1;2;28
Rua Diana, 649 - Perdizes, São Paulo - SP;950000.0;105;3;1;3;28
Rua Cayowaá, 524 - Perdizes, São Paulo - SP;690000.0;69;3;1;2;28
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;950000.0;96;2;1;2;28
Rua Aimberê, 406 - Perdizes, São Paulo - SP;1500000.0;131;3;2;3;28
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;3;3;3;28
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;400000.0;37;1;0;1;28
Rua Apiacás, 961 - Perdizes, São Paulo - SP;2800000.0;196;4;4;5;28
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2500000.0;150;3;3;4;28
Rua Caiubi, 1329 - Perdizes, São Paulo - SP;630000.0;70;2;1;2;28
Rua Cardoso de Almeida, 1116 - Perdizes, São Paulo - SP;1250000.0;137;3;1;3;28
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;3000000.0;174;3;2;5;28
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;0;3;5;28
Rua Paraguaçu - Perdizes, São Paulo - SP;6000000.0;267;3;5;4;28
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2385000.0;153;3;3;5;28
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;980000.0;117;3;1;4;28
Rua Apinajés, 271 - Perdizes, São Paulo - SP;1950000.0;173;3;4;5;28
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;5500000.0;266;4;5;6;28
Rua Ministro Godói, 539 - Perdizes, São Paulo - SP;895000.0;106;3;1;3;28
Rua Cayowaá, 425 - Perdizes, São Paulo - SP;2300000.0;155;4;2;3;28
Rua Desembargador do Vale, 333 - Perdizes, São Paulo - SP;1500000.0;121;3;3;3;28
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;550000.0;56;2;1;1;28
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;2000000.0;100;3;2;3;28
Rua Apiacás - Perdizes, São Paulo - SP;1450000.0;127;3;2;3;28
Rua Apinajés, 969 - Perdizes, São Paulo - SP;1800000.0;226;4;3;4;28
Rua Monte Alegre, 1457 - Perdizes, São Paulo - SP;855000.0;93;3;3;3;28
Perdizes, São Paulo - SP;2190000.0;190;3;3;5;28
Rua Apinajés - Perdizes, São Paulo - SP;2100000.0;157;3;4;5;28
Rua Bartira, 901 - Perdizes, São Paulo - SP;1810000.0;186;4;2;5;28
Rua Tavares Bastos - Perdizes, São Paulo - SP;2950000.0;240;4;5;6;28
Rua Diana, 989 - Perdizes, São Paulo - SP;599000.0;65;2;2;2;28
Rua Doutor Cândido Espinheira, 758 - Perdizes, São Paulo - SP;3500000.0;221;4;4;6;28
Rua Cardoso de Almeida, 612 - Perdizes, São Paulo - SP;739900.0;101;2;1;2;28
Rua Cayowaá, 1258 - Perdizes, São Paulo - SP;1010000.0;110;3;1;3;29
Rua Campevas, 238 - Perdizes, São Paulo - SP;0.0;106;2;1;4;29
Rua Apinajés, 931 - Perdizes, São Paulo - SP;760000.0;67;2;2;2;29
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;980000.0;117;3;1;4;29
Rua dos Caetés, 878 - Perdizes, São Paulo - SP;600000.0;70;2;1;2;29
Rua Diana, 649 - Perdizes, São Paulo - SP;950000.0;105;3;1;3;29
Rua Cayowaá, 524 - Perdizes, São Paulo - SP;690000.0;69;3;1;2;29
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;950000.0;96;2;1;2;29
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;3;3;3;29
Rua Aimberê, 406 - Perdizes, São Paulo - SP;1500000.0;131;3;2;3;29
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;400000.0;37;1;0;1;29
Rua Apiacás, 961 - Perdizes, São Paulo - SP;2800000.0;196;4;4;5;29
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2500000.0;150;3;3;4;29
Rua Caiubi, 1329 - Perdizes, São Paulo - SP;630000.0;70;2;1;2;29
Rua Cardoso de Almeida, 1116 - Perdizes, São Paulo - SP;1250000.0;137;3;1;3;29
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;0;3;5;29
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;3000000.0;174;3;2;5;29
Rua Paraguaçu - Perdizes, São Paulo - SP;6000000.0;267;3;5;4;29
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2385000.0;153;3;3;5;29
Perdizes, São Paulo - SP;2190000.0;190;3;3;5;29
Rua Apinajés, 271 - Perdizes, São Paulo - SP;1950000.0;173;3;4;5;29
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;5500000.0;266;4;5;6;29
Rua Ministro Godói, 539 - Perdizes, São Paulo - SP;895000.0;106;3;1;3;29
Rua Cayowaá - Perdizes, São Paulo - SP;875000.0;110;3;1;3;29
Rua Cayowaá, 425 - Perdizes, São Paulo - SP;2300000.0;155;4;2;3;29
Rua Apiacás - Perdizes, São Paulo - SP;1450000.0;127;3;2;3;29
Rua Desembargador do Vale, 333 - Perdizes, São Paulo - SP;1500000.0;121;3;3;3;29
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;550000.0;56;2;1;1;29
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;2000000.0;100;3;2;3;29
Rua Cardoso de Almeida, 612 - Perdizes, São Paulo - SP;739900.0;101;2;1;2;29
Rua Apinajés, 969 - Perdizes, São Paulo - SP;1800000.0;226;4;3;4;29
Rua Monte Alegre, 1457 - Perdizes, São Paulo - SP;855000.0;93;3;3;3;29
Rua Apinajés - Perdizes, São Paulo - SP;2100000.0;157;3;4;5;29
Rua Bartira, 901 - Perdizes, São Paulo - SP;1810000.0;186;4;2;5;29
Rua Tavares Bastos - Perdizes, São Paulo - SP;2950000.0;240;4;5;6;29
Rua Doutor Cândido Espinheira, 758 - Perdizes, São Paulo - SP;3500000.0;221;4;4;6;29
Rua Cayowaá, 1258 - Perdizes, São Paulo - SP;1010000.0;110;3;1;3;30
Rua Campevas, 238 - Perdizes, São Paulo - SP;0.0;106;2;1;4;30
Rua Apinajés, 931 - Perdizes, São Paulo - SP;760000.0;67;2;2;2;30
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;980000.0;117;3;1;4;30
Rua dos Caetés, 878 - Perdizes, São Paulo - SP;600000.0;70;2;1;2;30
Rua Diana, 649 - Perdizes, São Paulo - SP;950000.0;105;3;1;3;30
Rua Cayowaá, 524 - Perdizes, São Paulo - SP;690000.0;69;3;1;2;30
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;950000.0;96;2;1;2;30
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;3;3;3;30
Rua Aimberê, 406 - Perdizes, São Paulo - SP;1500000.0;131;3;2;3;30
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;400000.0;37;1;0;1;30
Rua Apiacás, 961 - Perdizes, São Paulo - SP;2800000.0;196;4;4;5;30
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2500000.0;150;3;3;4;30
Rua Caiubi, 1329 - Perdizes, São Paulo - SP;630000.0;70;2;1;2;30
Rua Cardoso de Almeida, 1116 - Perdizes, São Paulo - SP;1250000.0;137;3;1;3;30
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;0;3;5;30
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;3000000.0;174;3;2;5;30
Rua Paraguaçu - Perdizes, São Paulo - SP;6000000.0;267;3;5;4;30
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2385000.0;153;3;3;5;30
Rua Apinajés, 271 - Perdizes, São Paulo - SP;1950000.0;173;3;4;5;30
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;5500000.0;266;4;5;6;30
Rua Ministro Godói, 539 - Perdizes, São Paulo - SP;895000.0;106;3;1;3;30
Rua Cayowaá - Perdizes, São Paulo - SP;875000.0;110;3;1;3;30
Rua Cayowaá, 425 - Perdizes, São Paulo - SP;2300000.0;155;4;2;3;30
Rua Desembargador do Vale, 333 - Perdizes, São Paulo - SP;1500000.0;121;3;3;3;30
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;550000.0;56;2;1;1;30
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;2000000.0;100;3;2;3;30
Rua Cardoso de Almeida, 612 - Perdizes, São Paulo - SP;739900.0;101;2;1;2;30
Rua Apiacás - Perdizes, São Paulo - SP;1450000.0;127;3;2;3;30
Rua Apinajés, 969 - Perdizes, São Paulo - SP;1800000.0;226;4;3;4;30
Rua Monte Alegre, 1457 - Perdizes, São Paulo - SP;855000.0;93;3;3;3;30
Perdizes, São Paulo - SP;2190000.0;190;3;3;5;30
Rua Apinajés - Perdizes, São Paulo - SP;2100000.0;157;3;4;5;30
Rua Bartira, 901 - Perdizes, São Paulo - SP;1810000.0;186;4;2;5;30
Rua Tavares Bastos - Perdizes, São Paulo - SP;2950000.0;240;4;5;6;30
Rua Doutor Cândido Espinheira, 758 - Perdizes, São Paulo - SP;3500000.0;221;4;4;6;30
Rua Cayowaá, 1258 - Perdizes, São Paulo - SP;1010000.0;110;3;1;3;31
Rua Campevas, 238 - Perdizes, São Paulo - SP;0.0;106;2;1;4;31
Rua Apinajés, 931 - Perdizes, São Paulo - SP;760000.0;67;2;2;2;31
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;980000.0;117;3;1;4;31
Rua dos Caetés, 878 - Perdizes, São Paulo - SP;600000.0;70;2;1;2;31
Rua Diana, 649 - Perdizes, São Paulo - SP;950000.0;105;3;1;3;31
Rua Cayowaá, 524 - Perdizes, São Paulo - SP;690000.0;69;3;1;2;31
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;950000.0;96;2;1;2;31
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;0;3;5;31
Rua Aimberê, 406 - Perdizes, São Paulo - SP;1500000.0;131;3;2;3;31
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;400000.0;37;1;0;1;31
Rua Apiacás, 961 - Perdizes, São Paulo - SP;2800000.0;196;4;4;5;31
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2500000.0;150;3;3;4;31
Rua Caiubi, 1329 - Perdizes, São Paulo - SP;630000.0;70;2;1;2;31
Rua Cardoso de Almeida, 1116 - Perdizes, São Paulo - SP;1250000.0;137;3;1;3;31
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;3;3;3;31
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;3000000.0;174;3;2;5;31
Rua Paraguaçu - Perdizes, São Paulo - SP;6000000.0;267;3;5;4;31
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2385000.0;153;3;3;5;31
Perdizes, São Paulo - SP;2190000.0;190;3;3;5;31
Rua Apinajés, 271 - Perdizes, São Paulo - SP;1950000.0;173;3;4;5;31
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;5500000.0;266;4;5;6;31
Rua Ministro Godói, 539 - Perdizes, São Paulo - SP;895000.0;106;3;1;3;31
Rua Cayowaá - Perdizes, São Paulo - SP;875000.0;110;3;1;3;31
Rua Cayowaá, 425 - Perdizes, São Paulo - SP;2300000.0;155;4;2;3;31
Rua Apiacás - Perdizes, São Paulo - SP;1450000.0;127;3;2;3;31
Rua Desembargador do Vale, 333 - Perdizes, São Paulo - SP;1500000.0;121;3;3;3;31
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;550000.0;56;2;1;1;31
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;2000000.0;100;3;2;3;31
Rua Cardoso de Almeida, 612 - Perdizes, São Paulo - SP;739900.0;101;2;1;2;31
Rua Apinajés, 969 - Perdizes, São Paulo - SP;1800000.0;226;4;3;4;31
Rua Monte Alegre, 1457 - Perdizes, São Paulo - SP;855000.0;93;3;3;3;31
Rua Apinajés - Perdizes, São Paulo - SP;2100000.0;157;3;4;5;31
Rua Bartira, 901 - Perdizes, São Paulo - SP;1810000.0;186;4;2;5;31
Rua Tavares Bastos - Perdizes, São Paulo - SP;2950000.0;240;4;5;6;31
Rua Doutor Cândido Espinheira, 758 - Perdizes, São Paulo - SP;3500000.0;221;4;4;6;31
Rua Cayowaá, 1258 - Perdizes, São Paulo - SP;1010000.0;110;3;1;3;32
Rua Campevas, 238 - Perdizes, São Paulo - SP;0.0;106;2;1;4;32
Rua Apinajés, 931 - Perdizes, São Paulo - SP;760000.0;67;2;2;2;32
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;980000.0;117;3;1;4;32
Rua dos Caetés, 878 - Perdizes, São Paulo - SP;600000.0;70;2;1;2;32
Rua Diana, 649 - Perdizes, São Paulo - SP;950000.0;105;3;1;3;32
Rua Cayowaá, 524 - Perdizes, São Paulo - SP;690000.0;69;3;1;2;32
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;950000.0;96;2;1;2;32
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;0;3;5;32
Rua Aimberê, 406 - Perdizes, São Paulo - SP;1500000.0;131;3;2;3;32
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;400000.0;37;1;0;1;32
Rua Apiacás, 961 - Perdizes, São Paulo - SP;2800000.0;196;4;4;5;32
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2500000.0;150;3;3;4;32
Rua Caiubi, 1329 - Perdizes, São Paulo - SP;630000.0;70;2;1;2;32
Rua Cardoso de Almeida, 1116 - Perdizes, São Paulo - SP;1250000.0;137;3;1;3;32
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;3;3;3;32
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;3000000.0;174;3;2;5;32
Rua Paraguaçu - Perdizes, São Paulo - SP;6000000.0;267;3;5;4;32
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2385000.0;153;3;3;5;32
Rua Apinajés, 271 - Perdizes, São Paulo - SP;1950000.0;173;3;4;5;32
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;5500000.0;266;4;5;6;32
Rua Ministro Godói, 539 - Perdizes, São Paulo - SP;895000.0;106;3;1;3;32
Rua Cayowaá - Perdizes, São Paulo - SP;875000.0;110;3;1;3;32
Rua Cayowaá, 425 - Perdizes, São Paulo - SP;2300000.0;155;4;2;3;32
Rua Desembargador do Vale, 333 - Perdizes, São Paulo - SP;1500000.0;121;3;3;3;32
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;550000.0;56;2;1;1;32
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;2000000.0;100;3;2;3;32
Rua Cardoso de Almeida, 612 - Perdizes, São Paulo - SP;739900.0;101;2;1;2;32
Rua Apiacás - Perdizes, São Paulo - SP;1450000.0;127;3;2;3;32
Rua Apinajés, 969 - Perdizes, São Paulo - SP;1800000.0;226;4;3;4;32
Rua Monte Alegre, 1457 - Perdizes, São Paulo - SP;855000.0;93;3;3;3;32
Perdizes, São Paulo - SP;2190000.0;190;3;3;5;32
Rua Apinajés - Perdizes, São Paulo - SP;2100000.0;157;3;4;5;32
Rua Bartira, 901 - Perdizes, São Paulo - SP;1810000.0;186;4;2;5;32
Rua Tavares Bastos - Perdizes, São Paulo - SP;2950000.0;240;4;5;6;32
Rua Doutor Cândido Espinheira, 758 - Perdizes, São Paulo - SP;3500000.0;221;4;4;6;32
Rua Doutor Costa Júnior - Perdizes, São Paulo - SP;1615000.0;135;3;2;5;33
Rua Doutor Orville Velloso de Almeida, 1206 - Vila Augusto, São Paulo - SP;1239990.0;112;2;1;1;33
Perdizes, São Paulo - SP;1000000.0;80;2;1;3;33
Rua Tagipuru, 265 - Perdizes, São Paulo - SP;905000.0;70;2;1;1;33
Rua Apinajés - Perdizes, São Paulo - SP;2400000.0;187;4;3;3;33
Perdizes, São Paulo - SP;890000.0;117;2;1;2;33
Rua Caiubi, 1422 - Perdizes, São Paulo - SP;2899800.0;202;3;3;4;33
Rua Melo Palheta - Perdizes, São Paulo - SP;1340000.0;111;2;2;3;33
Rua Jaguarete, 202 - Casa Verde, São Paulo - SP;0.0;48;1;1;1;33
Rua Tucuna - Perdizes, São Paulo - SP;1089000.0;147;3;2;4;33
Rua Cayowaá - Perdizes, São Paulo - SP;1610544.0;100;3;2;3;33
Rua Cayowaá, 560 - Perdizes, São Paulo - SP;5835.0;135;3;3;4;33
Rua Diana, 409 - Perdizes, São Paulo - SP;749610.0;65;2;2;2;33
Rua Cotoxó - Perdizes, São Paulo - SP;900000.0;94;3;2;2;33
Rua João Ramalho - Perdizes, São Paulo - SP;1410000.0;144;4;2;2;33
Rua Mourato Coelho, 73 - Pinheiros, São Paulo - SP;0.0;38;1;1;1;33
Rua Piracuama - Perdizes, São Paulo - SP;1277000.0;118;4;3;3;33
Rua Caiubi, 846 - Perdizes, São Paulo - SP;2685.0;55;2;2;1;33
Rua Ministro Godói, 1213 - Perdizes, São Paulo - SP;1428000.0;105;3;2;4;33
Rua Ministro Gastão Mesquita - Perdizes, São Paulo - SP;589000.0;63;2;2;2;33
Rua Diana - Perdizes, São Paulo - SP;1064000.0;102;3;2;1;33
Rua Iperoig - Perdizes, São Paulo - SP;1330000.0;130;3;2;4;33
Rua Fernão Dias, 71 - Pinheiros, São Paulo - SP;260000.0;24;1;0;1;33
Rua Monte Alegre - Perdizes, São Paulo - SP;890000.0;124;3;1;2;33
Rua Apiacás - Perdizes, São Paulo - SP;850000.0;82;3;1;3;33
Rua Doutor Homem de Melo - Perdizes, São Paulo - SP;1250000.0;129;3;2;3;33
Perdizes, São Paulo - SP;670000.0;67;2;1;3;33
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;2201000.0;174;3;2;5;33
Rua Iperoig, 333 - Perdizes, São Paulo - SP;2699800.0;170;3;3;4;33
Viaduto Nove de Julho, 200 - Centro, São Paulo - SP;406000.0;22;0;0;0;33
Rua Paraguaçu, 196 - Perdizes, São Paulo - SP;1980000.0;204;3;3;4;33
Perdizes, São Paulo - SP;550000.0;55;2;1;2;33
Rua Caraíbas - Perdizes, São Paulo - SP;804068.0;70;3;1;4;33
Rua Professor João Arruda, 190 - Perdizes, São Paulo - SP;890000.0;103;3;2;3;33
Rua Iperoig - Perdizes, São Paulo - SP;2950000.0;225;4;5;6;33
Rua Diana, 921 - Perdizes, São Paulo - SP;679000.0;75;2;1;3;33
Rua Cayowaá, 1258 - Perdizes, São Paulo - SP;1010000.0;110;3;1;3;34
Rua Campevas, 238 - Perdizes, São Paulo - SP;0.0;106;2;1;4;34
Rua Apinajés, 931 - Perdizes, São Paulo - SP;760000.0;67;2;2;2;34
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;980000.0;117;3;1;4;34
Rua dos Caetés, 878 - Perdizes, São Paulo - SP;600000.0;70;2;1;2;34
Rua Diana, 649 - Perdizes, São Paulo - SP;950000.0;105;3;1;3;34
Rua Cayowaá, 524 - Perdizes, São Paulo - SP;690000.0;69;3;1;2;34
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;950000.0;96;2;1;2;34
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;0;3;5;34
Rua Aimberê, 406 - Perdizes, São Paulo - SP;1500000.0;131;3;2;3;34
Rua Cayowaá, 604 - Perdizes, São Paulo - SP;400000.0;37;1;0;1;34
Rua Apiacás, 961 - Perdizes, São Paulo - SP;2800000.0;196;4;4;5;34
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2500000.0;150;3;3;4;34
Rua Caiubi, 1329 - Perdizes, São Paulo - SP;630000.0;70;2;1;2;34
Rua Cardoso de Almeida, 1116 - Perdizes, São Paulo - SP;1250000.0;137;3;1;3;34
Rua Iperoig, 333 - Perdizes, São Paulo - SP;0.0;171;3;3;3;34
Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;3000000.0;174;3;2;5;34
Rua Paraguaçu - Perdizes, São Paulo - SP;6000000.0;267;3;5;4;34
Rua Cotoxó, 1290 - Perdizes, São Paulo - SP;2385000.0;153;3;3;5;34
Rua Apinajés, 271 - Perdizes, São Paulo - SP;1950000.0;173;3;4;5;34
Rua dos Caetés, 100 - Perdizes, São Paulo - SP;5500000.0;266;4;5;6;34
Rua Ministro Godói, 539 - Perdizes, São Paulo - SP;895000.0;106;3;1;3;34
Rua Cayowaá - Perdizes, São Paulo - SP;875000.0;110;3;1;3;34
Rua Cayowaá, 425 - Perdizes, São Paulo - SP;2300000.0;155;4;2;3;34
Rua Desembargador do Vale, 333 - Perdizes, São Paulo - SP;1500000.0;121;3;3;3;34
Rua Cardoso de Almeida, 978 - Perdizes, São Paulo - SP;550000.0;56;2;1;1;34
Rua Cayowaá, 390 - Perdizes, São Paulo - SP;2000000.0;100;3;2;3;34
Rua Apiacás - Perdizes, São Paulo - SP;1450000.0;127;3;2;3;34
Rua Apinajés, 969 - Perdizes, São Paulo - SP;1800000.0;226;4;3;4;34
Rua Monte Alegre, 1457 - Perdizes, São Paulo - SP;855000.0;93;3;3;3;34
Perdizes, São Paulo - SP;2190000.0;190;3;3;5;34
Rua Apinajés - Perdizes, São Paulo - SP;2100000.0;157;3;4;5;34
Rua Bartira, 901 - Perdizes, São Paulo - SP;1810000.0;186;4;2;5;34
Rua Tavares Bastos - Perdizes, São Paulo - SP;2950000.0;240;4;5;6;34
Rua Doutor Cândido Espinheira, 758 - Perdizes, São Paulo - SP;3500000.0;221;4;4;6;34
Rua Cardoso de Almeida, 612 - Perdizes, São Paulo - SP;739900.0;101;2;1;2;34
Rua Doutor Homem de Melo - Perdizes, São Paulo - SP;1200000.0;127;3;1;2;35
Rua Iporanga, 250 - Água Branca, São Paulo - SP;548606.0;61;2;1;2;35
Rua Aimberê, 1485 - Perdizes, São Paulo - SP;720000.0;90;2;1;2;35
Rua Ministro Godói - Perdizes, São Paulo - SP;1360000.0;160;3;2;3;35
Rua Doutor Cândido Espinheira, 629 - Perdizes, São Paulo - SP;680000.0;94;3;2;2;35
Rua Monte Alegre - Perdizes, São Paulo - SP;650000.0;90;3;1;3;35
Rua Doutor Homem de Melo - Perdizes, São Paulo - SP;3570000.0;250;4;4;5;35
Rua Caiubi - Perdizes, São Paulo - SP;769000.0;64;2;1;2;35
Rua Pamplona, 850 - Jardim Paulista, São Paulo - SP;386000.0;20;1;0;1;35
Rua Diana - Perdizes, São Paulo - SP;1065000.0;113;4;2;4;35
Rua Apiacás - Perdizes, São Paulo - SP;1210000.0;136;4;2;3;35
Perdizes, São Paulo - SP;2150000.0;159;3;4;5;35
Rua Doutor Homem de Melo, 629 - Perdizes, São Paulo - SP;1300000.0;129;3;2;3;35
Rua Paraguaçu, 216 - Perdizes, São Paulo - SP;2000000.0;200;3;3;4;35
Rua Cayowaá - Perdizes, São Paulo - SP;1250000.0;142;3;2;2;35
Avenida Nossa Senhora do Ó, 865 - Limão, São Paulo - SP;508180.0;56;2;1;1;35
Perdizes, São Paulo - SP;1150000.0;125;3;1;3;35
Rua Ministro Gastão Mesquita, 157 - Perdizes, São Paulo - SP;580000.0;66;2;1;2;35
Rua Apinajés - Perdizes, São Paulo - SP;1330000.0;125;4;2;3;35
Rua Apinajés - Perdizes, São Paulo - SP;1300000.0;130;4;2;4;35
Rua Professor João Arruda, 134 - Perdizes, São Paulo - SP;1079800.0;108;3;2;3;35
Rua Paracuê, 181 - Perdizes, São Paulo - SP;324000.0;28;1;0;1;35
Rua Capitão Prudente, 209 - Pinheiros, São Paulo - SP;1120000.0;71;2;1;1;35
